"","dimension","Birth","Death"
"92",0,0,0.104333802767847
"93",0,0,0.105440431049954
"94",0,0,0.123838841241349
"95",0,0,0.0437819254944321
"96",0,0,0.052101226473088
"97",0,0,0.0477140000419164
"98",0,0,0.0644322628812616
"99",0,0,0.0636835496812167
"100",0,0,0.113600493396816
"101",0,0,0.0571170176042132
"102",0,0,0.0863434913586427
"103",0,0,0.0990934397424976
"104",0,0,0.0985521694332499
"105",0,0,0.0572406883257006
"106",0,0,0
"107",0,0,2
"108",0,0,0.349843299349866
"109",0,0,0.179464975134426
"110",0,0,0.264254011511651
"111",0,0,0.317256353915883
"112",0,0,0.109538235333604
"113",0,0,0.0797489184879645
"114",0,0,0.13568600001474
"115",0,0,0.230164716887711
"116",0,0,0.125985018950667
"117",0,0,0.0364359835876568
"118",0,0,0.15695844354478
"119",0,0,0.230010084126762
"120",0,0,0.131261909935823
"121",0,0,0.130380414556788
"122",0,0,0.0196290600895712
"123",0,0,0.00682495421230062
"124",0,0,0.219494886728598
"125",0,0,0.0700376791448717
"126",0,0,0.115322200811466
"127",0,0,0
"128",0,0,2
"129",0,0,0.0424375625499664
"130",0,0,0.0522508721524957
"131",0,0,0.0334579488178968
"132",0,0,0.0327557171334867
"133",0,0,0.0320947911224462
"134",0,0,0.057170689089731
"135",0,0,0.0668952634628537
"136",0,0,0.0313081908056528
"137",0,0,0.0719730371385293
"138",0,0,0.0468365013472628
"139",0,0,0.0503633154844199
"140",0,0,0.0331130212847262
"141",0,0,0.0250012060058507
"142",0,0,0.0288781683750554
"143",0,0,0.0432915920698551
"144",0,0,0.0359621049239784
"145",0,0,0.0264439471590036
"146",0,0,0.0160730953435788
"147",0,0,0.019611974003279
"148",0,0,0
"149",0,0,2
"150",0,0,0.0636457421985163
"151",0,0,0.0615002081297291
"152",0,0,0.0756711754897464
"153",0,0,0.0595788586664767
"154",0,0,0.0710526628635409
"155",0,0,0.0370429291498391
"156",0,0,0.0339481796271906
"157",0,0,0.0445953405637854
"158",0,0,0.0330598018747844
"159",0,0,0.0437452363120832
"160",0,0,0.0456300394477147
"161",0,0,0.0354810061864091
"162",0,0,0.128432957218932
"163",0,0,0.119236971196018
"164",0,0,0.0497900040168707
"165",0,0,0.0143176324858546
"166",0,0,0.0146776190167207
"167",0,0,0.375073002627488
"168",0,0,0.345069983191816
"169",0,0,0
"170",0,0,2
"171",0,0,0.0549038841977505
"172",0,0,0.052920122826766
"173",0,0,0.0237188743409125
"174",0,0,0.0178767810301519
